table_name,module,description_en,description_fr,key_columns,relations,sensitive,notes
C_ORDER,Sales,Sales order header storing customer orders dates statuses document types warehouses and order totals.,En-tete des commandes de vente avec client dates statuts types documents entrepot et totaux.,C_ORDER_ID:bigint:Primary sales order identifier|DOCUMENTNO:varchar:Human-readable sales order number|DOCSTATUS:char(2):Compiere lifecycle status such as CO completed CL closed DR draft|ISSOTRX:char(1):Y for sales transactions N for purchases|C_BPARTNER_ID:bigint:Customer business partner|DATEORDERED:timestamp:Sales order date|C_DOCTYPE_ID:bigint:Actual document type|C_DOCTYPETARGET_ID:bigint:Target sales document type|M_WAREHOUSE_ID:bigint:Warehouse used by the order|TOTALLINES:numeric:Order net amount before tax|GRANDTOTAL:numeric:Order total amount including tax,C_BPARTNER_ID -> C_BPARTNER (C_BPARTNER_ID)|C_ORDER_ID -> C_ORDERLINE (C_ORDER_ID)|C_ORDER_ID -> C_INVOICE (C_ORDER_ID)|C_ORDER_ID -> M_INOUT (C_ORDER_ID)|C_DOCTYPE_ID -> C_DOCTYPE (C_DOCTYPE_ID)|C_DOCTYPETARGET_ID -> C_DOCTYPE (C_DOCTYPE_ID)|M_WAREHOUSE_ID -> M_WAREHOUSE (M_WAREHOUSE_ID)|AD_ORG_ID -> AD_ORG (AD_ORG_ID),false,Use for vente order counts totals statuses document numbers and order dates. Also use with customers who bought products and customer purchase questions through C_BPARTNER and C_ORDERLINE. The imported dataset is already vente scoped with ISSOTRX Y and completed or closed sales documents. Current Docker PostgreSQL import covers the 2025-01-01 to 2026-07-01 export window: whole 2025 plus 2026 so far.
C_ORDERLINE,Sales,Sales order line detail storing products ordered quantities delivered quantities invoiced quantities prices and line net amounts.,Lignes des commandes de vente avec produits quantites commandees livrees facturees prix et montants ligne.,C_ORDERLINE_ID:bigint:Primary sales order line identifier|C_ORDER_ID:bigint:Parent sales order|LINE:bigint:Line sequence|C_BPARTNER_ID:bigint:Customer copied to the line|M_PRODUCT_ID:bigint:Ordered product|M_WAREHOUSE_ID:bigint:Warehouse for fulfillment|QTYORDERED:numeric:Ordered quantity|QTYDELIVERED:numeric:Delivered quantity|QTYINVOICED:numeric:Invoiced quantity|PRICEACTUAL:numeric:Actual unit price|PRICELIST:numeric:List price|LINENETAMT:numeric:Net sales amount for the line|C_TAX_ID:bigint:Tax used on the line,C_ORDER_ID -> C_ORDER (C_ORDER_ID)|M_PRODUCT_ID -> M_PRODUCT (M_PRODUCT_ID)|C_ORDERLINE_ID -> C_INVOICELINE (C_ORDERLINE_ID)|C_ORDERLINE_ID -> M_INOUTLINE (C_ORDERLINE_ID)|C_TAX_ID -> C_TAX (C_TAX_ID)|M_WAREHOUSE_ID -> M_WAREHOUSE (M_WAREHOUSE_ID),false,Use for product sales quantities top ordered products line revenue delivered vs ordered and invoiced vs ordered analysis. Current Docker PostgreSQL import covers the 2025-01-01 to 2026-07-01 export window: whole 2025 plus 2026 so far.
C_INVOICE,Finance,Sales invoice header storing customer invoices credit memos invoice dates statuses payment flags and invoice totals.,En-tete des factures client et avoirs avec dates statuts indicateur paye et totaux.,C_INVOICE_ID:bigint:Primary sales invoice identifier|DOCUMENTNO:varchar:Human-readable invoice number|DOCSTATUS:char(2):Invoice lifecycle status|ISSOTRX:char(1):Y for customer invoice|C_DOCTYPE_ID:bigint:Invoice document type such as invoice or credit memo|C_ORDER_ID:bigint:Related sales order when available|C_BPARTNER_ID:bigint:Customer business partner|DATEINVOICED:timestamp:Invoice date|ISPAID:char(1):Whether invoice is marked paid|TOTALLINES:numeric:Invoice net amount before tax|GRANDTOTAL:numeric:Invoice total amount including tax,C_INVOICE_ID -> C_INVOICELINE (C_INVOICE_ID)|C_INVOICE_ID -> C_ALLOCATIONLINE (C_INVOICE_ID)|C_ORDER_ID -> C_ORDER (C_ORDER_ID)|C_BPARTNER_ID -> C_BPARTNER (C_BPARTNER_ID)|C_DOCTYPE_ID -> C_DOCTYPE (C_DOCTYPE_ID)|AD_ORG_ID -> AD_ORG (AD_ORG_ID),false,Use for invoice counts revenue by invoice date paid/unpaid flags customer invoicing and credit memo analysis. For actual payment records join through C_ALLOCATIONLINE then C_PAYMENT. Current Docker PostgreSQL import covers the 2025-01-01 to 2026-07-01 export window: whole 2025 plus 2026 so far.
C_INVOICELINE,Finance,Sales invoice line detail storing invoiced products quantities prices taxes and net invoice line amounts.,Lignes des factures client avec produits quantites facturees prix taxes et montants nets.,C_INVOICELINE_ID:bigint:Primary invoice line identifier|C_INVOICE_ID:bigint:Parent invoice header|C_ORDERLINE_ID:bigint:Related sales order line|M_INOUTLINE_ID:bigint:Related delivery line column imported as m_inoutline_id|LINE:bigint:Line sequence|M_PRODUCT_ID:bigint:Invoiced product|QTYINVOICED:numeric:Invoiced quantity|PRICELIST:numeric:List price|PRICEACTUAL:numeric:Actual invoice unit price|LINENETAMT:numeric:Net invoice line amount|C_TAX_ID:bigint:Tax used on invoice line,C_INVOICE_ID -> C_INVOICE (C_INVOICE_ID)|C_ORDERLINE_ID -> C_ORDERLINE (C_ORDERLINE_ID)|M_INOUTLINE_ID -> M_INOUTLINE (M_INOUTLINE_ID)|M_PRODUCT_ID -> M_PRODUCT (M_PRODUCT_ID)|M_PRODUCT_ID -> V_PRODUCT_PRIMARY_SUPPLIER (M_PRODUCT_ID)|C_TAX_ID -> C_TAX (C_TAX_ID),false,Use for confirmed invoiced sales revenue and CA facture. Join C_INVOICELINE.C_INVOICE_ID to C_INVOICE.C_INVOICE_ID for invoice date customer and paid status filters. For CA facture par fournisseur join C_INVOICELINE.M_PRODUCT_ID directly to V_PRODUCT_PRIMARY_SUPPLIER.M_PRODUCT_ID. Do not join M_INOUTLINE unless the question is explicitly about delivery; M_INOUTLINE does not contain C_INVOICELINE_ID. Current Docker PostgreSQL import covers the 2025-01-01 to 2026-07-01 export window: whole 2025 plus 2026 so far.
C_BPARTNER,Reference,Business partner master data containing customers suppliers partner codes names groups and commercial flags.,Referentiel des tiers avec clients fournisseurs codes noms groupes et indicateurs commerciaux.,C_BPARTNER_ID:bigint:Primary business partner identifier|VALUE:varchar:Business partner code|NAME:varchar:Business partner display name|NAME2:varchar:Additional partner name|C_BP_GROUP_ID:bigint:Business partner group|ISCUSTOMER:char(1):Whether partner is a customer|ISVENDOR:char(1):Whether partner is a supplier|SO_CREDITLIMIT:numeric:Sales credit limit|SALESREP_ID:bigint:Sales representative,C_BPARTNER_ID -> C_ORDER (C_BPARTNER_ID)|C_BPARTNER_ID -> C_INVOICE (C_BPARTNER_ID)|C_BPARTNER_ID -> C_PAYMENT (C_BPARTNER_ID)|C_BPARTNER_ID -> C_ALLOCATIONLINE (C_BPARTNER_ID)|C_BPARTNER_ID -> M_INOUT (C_BPARTNER_ID),false,Use with orders invoices payments and shipments to show real customer names instead of IDs. Also use for customer bought products customer purchases partner purchases and top customers. In this phase the extracted partners are those linked to vente. Current Docker PostgreSQL import covers the 2025-01-01 to 2026-07-01 export window: whole 2025 plus 2026 so far.
M_PRODUCT,Inventory,Product master data for sold and stock-managed products with product codes names categories type theme collection ISBN and sale or purchase flags.,Referentiel produits avec codes noms categories type theme collection ISBN et indicateurs vente achat stock.,M_PRODUCT_ID:bigint:Primary product identifier|VALUE:varchar:Product code or article reference|NAME:varchar:Product display name|DESCRIPTION:varchar:Product description|TITRE:varchar:Book or article title|CODE_ISBN:varchar:ISBN code|CODE_ARTICLE:varchar:Article code|C_UOM_ID:bigint:Unit of measure|M_PRODUCT_CATEGORY_ID:bigint:Product category|M_PRODUCT_TYPE_ID:bigint:Product type for type d'article|M_PRODUCT_THEME_ID:bigint:Product theme|M_PRODUCT_COLLECTION_ID:bigint:Product collection|PRODUCTTYPE:char(1):ERP product type code|ISSTOCKED:char(1):Whether product is stocked|ISSOLD:char(1):Whether product can be sold|ISPURCHASED:char(1):Whether product can be purchased,M_PRODUCT_ID -> C_ORDERLINE (M_PRODUCT_ID)|M_PRODUCT_ID -> C_INVOICELINE (M_PRODUCT_ID)|M_PRODUCT_ID -> M_INOUTLINE (M_PRODUCT_ID)|M_PRODUCT_ID -> RV_STORAGE (M_PRODUCT_ID)|M_PRODUCT_ID -> M_PRODUCT_PO (M_PRODUCT_ID)|M_PRODUCT_ID -> V_PRODUCT_PRIMARY_SUPPLIER (M_PRODUCT_ID)|M_PRODUCT_CATEGORY_ID -> M_PRODUCT_CATEGORY (M_PRODUCT_CATEGORY_ID)|M_PRODUCT_TYPE_ID -> M_PRODUCT_TYPE (M_PRODUCT_TYPE_ID)|M_PRODUCT_THEME_ID -> M_PRODUCT_THEME (M_PRODUCT_THEME_ID)|M_PRODUCT_COLLECTION_ID -> M_PRODUCT_COLLECTION (M_PRODUCT_COLLECTION_ID),false,Use to translate product IDs into names categories type theme collection and supplier context. For type d'article join M_PRODUCT.M_PRODUCT_TYPE_ID to M_PRODUCT_TYPE.M_PRODUCT_TYPE_ID with cast if the imported runtime types differ. Do not join M_PRODUCT.M_PRODUCT_CATEGORY_ID to M_PRODUCT_TYPE.M_PRODUCT_TYPE_ID. For supplier CA join M_PRODUCT_ID to V_PRODUCT_PRIMARY_SUPPLIER. Current Docker PostgreSQL import covers the 2025-01-01 to 2026-07-01 export window: whole 2025 plus 2026 so far.
M_PRODUCT_CATEGORY,Inventory,Product category reference table used to group products into families for sales and stock analysis.,Referentiel des categories produits pour regrouper les articles en familles.,M_PRODUCT_CATEGORY_ID:bigint:Primary product category identifier|VALUE:varchar:Category code|NAME:varchar:Category name|DESCRIPTION:varchar:Category description|ISDEFAULT:char(1):Default category flag|PLANNEDMARGIN:numeric:Planned margin percentage,M_PRODUCT_CATEGORY_ID -> M_PRODUCT (M_PRODUCT_CATEGORY_ID)|M_PRODUCT_CATEGORY_ID -> RV_STORAGE (M_PRODUCT_CATEGORY_ID),false,Use for revenue by category top product families product mix and category-level stock questions.
C_DOCTYPE,Reference,Document type reference table describing sales orders customer invoices credit memos depots counters markets and document base types.,Referentiel des types documents vente factures avoirs depots comptoirs marches et types de base.,C_DOCTYPE_ID:bigint:Primary document type identifier|NAME:varchar:Document type business name|PRINTNAME:varchar:Printed document label|DESCRIPTION:varchar:Document type description|DOCBASETYPE:varchar:Compiere base document type code|ISSOTRX:char(1):Sales transaction flag|DOCSUBTYPESO:varchar:Sales order subtype when available,C_DOCTYPE_ID -> C_ORDER (C_DOCTYPE_ID)|C_DOCTYPE_ID -> C_ORDER (C_DOCTYPETARGET_ID)|C_DOCTYPE_ID -> C_INVOICE (C_DOCTYPE_ID)|C_DOCTYPE_ID -> M_INOUT (C_DOCTYPE_ID)|C_DOCTYPE_ID -> C_PAYMENT (C_DOCTYPE_ID),false,Use to explain document labels such as Facture client Avoir client Commande standard Vente Comptoir Marche and Depot.
C_TAX,Finance,Tax reference table for invoice and order line taxes including VAT names rates and exemption flags.,Referentiel des taxes des lignes commandes et factures avec TVA taux et exemptions.,C_TAX_ID:bigint:Primary tax identifier|NAME:varchar:Tax name such as TVA20 or Livre|DESCRIPTION:varchar:Tax description|RATE:numeric:Tax rate percentage|TAXINDICATOR:varchar:Tax indicator|ISTAXEXEMPT:char(1):Tax exempt flag|C_TAXCATEGORY_ID:bigint:Tax category,C_TAX_ID -> C_ORDERLINE (C_TAX_ID)|C_TAX_ID -> C_INVOICELINE (C_TAX_ID),false,Use for tax rate VAT exempt taxable sales and HT versus TTC context when line tax detail is needed.
AD_ORG,Reference,Organization reference table for the legal or operational entity owning the vente transactions.,Referentiel organisationnel de l'entite portant les transactions vente.,AD_ORG_ID:bigint:Primary organization identifier|VALUE:varchar:Organization code|NAME:varchar:Organization name|DESCRIPTION:varchar:Organization description|ISSUMMARY:char(1):Summary organization flag|ISACTIVE:char(1):Active flag,AD_ORG_ID -> C_ORDER (AD_ORG_ID)|AD_ORG_ID -> C_ORDERLINE (AD_ORG_ID)|AD_ORG_ID -> C_INVOICE (AD_ORG_ID)|AD_ORG_ID -> C_INVOICELINE (AD_ORG_ID)|AD_ORG_ID -> M_INOUT (AD_ORG_ID)|AD_ORG_ID -> M_INOUTLINE (AD_ORG_ID)|AD_ORG_ID -> RV_STORAGE (AD_ORG_ID),false,Current vente extraction has one organization Stock siege LPN context. Use only when user asks by organization or entity.
